Transaction Date,ATM Name,No Of Withdrawals,Amount withdrawn Card,Amount withdrawn Other Card,Total amount Withdrawn
2016-11-12,Big Street ATM,100,317780,1329950,1647730
2016-11-13,Big Street ATM,107,1390820,1102510,2493330
2016-11-14,Big Street ATM,115,532070,1328550,1860620
2016-11-15,Big Street ATM,127,1433860,1075880,2509740
2016-11-16,Big Street ATM,133,1141410,1278020,2419430
2016-11-17,Big Street ATM,116,865100,1183470,2048570
2016-11-18,Big Street ATM,93,980510,615640,1596150
2016-11-19,Big Street ATM,97,987370,692800,1680170
2016-11-20,Big Street ATM,91,233760,1194340,1428100
2016-11-21,Big Street ATM,116,933570,1025890,1959460
2016-11-22,Big Street ATM,117,873420,975360,1848780
2016-11-23,Big Street ATM,118,1155110,936780,2091890
2016-11-24,Big Street ATM,71,471920,514030,985950
2016-11-25,Big Street ATM,119,1124790,985140,2109930
2016-11-26,Big Street ATM,131,1341440,852010,2193450
2016-11-27,Big Street ATM,79,474860,666180,1141040
2016-11-28,Big Street ATM,114,1107660,1216620,2324280
2016-11-29,Big Street ATM,124,855820,1388870,2244690
2016-11-30,Big Street ATM,85,556030,962320,1518350
2016-12-01,Big Street ATM,119,590290,1122730,1713020
2016-12-02,Big Street ATM,114,942590,1154480,2097070
2016-12-03,Big Street ATM,107,1105560,1175820,2281380
2016-12-04,Big Street ATM,121,959240,1432040,2391280
2016-12-05,Big Street ATM,117,1092380,1254220,2346600
2016-12-06,Big Street ATM,127,1375570,1520080,2895650
2016-12-07,Big Street ATM,121,1147250,1223670,2370920
2016-12-08,Big Street ATM,106,608080,998100,1606180
2016-12-09,Big Street ATM,98,985970,872040,1858010
2016-12-10,Big Street ATM,101,678260,778420,1456680
2016-12-11,Big Street ATM,107,1039920,894510,1934430
2016-12-12,Big Street ATM,107,616960,892370,1509330
2016-12-13,Big Street ATM,90,909990,669770,1579760
2016-12-14,Big Street ATM,76,667540,789330,1456870
2016-12-15,Big Street ATM,120,475090,1487380,1962470
2016-12-16,Big Street ATM,118,459910,1220960,1680870
2016-12-17,Big Street ATM,95,407660,992250,1399910
2016-12-18,Big Street ATM,76,343810,818110,1161920
2016-12-19,Big Street ATM,77,329980,755600,1085580
2016-12-20,Big Street ATM,90,487150,883600,1370750
2016-12-21,Big Street ATM,77,854620,561610,1416230
2016-12-22,Big Street ATM,130,629130,1464060,2093190
2016-12-23,Big Street ATM,17,310770,113610,424380
2016-12-24,Big Street ATM,44,439370,242600,681970
2016-12-25,Big Street ATM,129,583600,990760,1574360
2016-12-26,Big Street ATM,77,664410,952560,1616970
2016-12-27,Big Street ATM,73,952400,296190,1248590
2016-12-28,Big Street ATM,100,594750,1094950,1689700
2016-12-29,Big Street ATM,101,672450,805210,1477660
2016-12-30,Big Street ATM,98,842120,695070,1537190
2016-12-31,Big Street ATM,144,1451620,1403040,2854660
2017-01-01,Big Street ATM,101,702270,843300,1545570
2017-01-02,Big Street ATM,80,395280,719550,1114830
2017-01-03,Big Street ATM,105,583200,865800,1449000
2017-01-04,Big Street ATM,108,677420,913340,1590760
2017-01-05,Big Street ATM,140,889890,1572220,2462110
2017-01-06,Big Street ATM,112,626820,1291340,1918160
2017-01-07,Big Street ATM,147,1006570,1683990,2690560
2017-01-08,Big Street ATM,119,735250,1374500,2109750
2017-01-09,Big Street ATM,141,962770,1333870,2296640
2017-01-10,Big Street ATM,116,667840,1152000,1819840
2017-01-11,Big Street ATM,115,522450,1377900,1900350
2017-01-12,Big Street ATM,128,377210,964140,1341350
2017-01-13,Big Street ATM,84,507870,727650,1235520
2017-01-14,Big Street ATM,115,368550,727200,1095750
2017-01-15,Big Street ATM,135,800280,1188000,1988280
2017-01-16,Big Street ATM,130,876420,999000,1875420
2017-01-17,Big Street ATM,112,715230,747900,1463130
2017-01-18,Big Street ATM,120,584820,1170450,1755270
2017-01-19,Big Street ATM,123,562140,1128150,1690290
2017-01-20,Big Street ATM,85,754920,558000,1312920
2017-01-21,Big Street ATM,85,738720,618300,1357020
2017-01-22,Big Street ATM,96,406620,538200,944820
2017-01-23,Big Street ATM,81,675940,439650,1115590
2017-01-24,Big Street ATM,118,989820,634050,1623870
2017-01-25,Big Street ATM,97,430520,684900,1115420
2017-01-26,Big Street ATM,118,738720,1050300,1789020
2017-01-27,Big Street ATM,92,505440,697500,1202940
2017-01-28,Big Street ATM,107,1019790,658800,1678590
2017-01-29,Big Street ATM,84,602640,384300,986940
2017-01-30,Big Street ATM,67,719280,436950,1156230
2017-01-31,Big Street ATM,120,850500,859950,1710450
2017-02-01,Big Street ATM,93,1070010,542250,1612260
2017-02-02,Big Street ATM,128,1166400,1147500,2313900
2017-02-03,Big Street ATM,95,592110,891000,1483110
2017-02-04,Big Street ATM,154,470760,2028440,2499200
2017-02-05,Big Street ATM,119,703260,977370,1680630
2017-02-06,Big Street ATM,101,878570,606690,1485260
2017-02-07,Big Street ATM,111,1344640,1085330,2429970
2017-02-08,Big Street ATM,97,956810,760250,1717060
2017-02-09,Big Street ATM,48,425670,356260,781930
2017-02-10,Big Street ATM,86,565380,794250,1359630
2017-02-11,Big Street ATM,112,808380,884250,1692630
2017-02-12,Big Street ATM,128,671440,1226900,1898340
2017-02-13,Big Street ATM,118,254740,1344150,1598890
2017-02-14,Big Street ATM,132,1043680,1357200,2400880
2017-02-15,Big Street ATM,136,457650,1292850,1750500
2017-02-16,Big Street ATM,127,422010,1223550,1645560
2017-02-17,Big Street ATM,77,734670,349650,1084320
2017-02-18,Big Street ATM,89,927860,668250,1596110
2017-02-19,Big Street ATM,121,735480,990450,1725930
2017-02-20,Big Street ATM,130,606690,960300,1566990
2017-02-21,Big Street ATM,147,1013310,1053900,2067210
2017-02-22,Big Street ATM,123,614380,740700,1355080
2017-02-23,Big Street ATM,134,679180,643500,1322680
2017-02-24,Big Street ATM,102,400950,909000,1309950
2017-02-25,Big Street ATM,94,495720,670050,1165770
2017-02-26,Big Street ATM,94,395280,560250,955530
2017-02-27,Big Street ATM,91,729810,386100,1115910
2017-02-28,Big Street ATM,123,1058260,862650,1920910
2017-03-01,Big Street ATM,130,1104840,1354500,2459340
2017-03-02,Big Street ATM,154,622080,1461600,2083680
2017-03-03,Big Street ATM,143,1317460,1000350,2317810
2017-03-04,Big Street ATM,128,1411830,1093840,2505670
2017-03-05,Big Street ATM,131,864890,1323660,2188550
2017-03-06,Big Street ATM,96,1014220,720560,1734780
2017-03-07,Big Street ATM,121,761200,1177470,1938670
2017-03-08,Big Street ATM,159,1478590,1586660,3065250
2017-03-09,Big Street ATM,117,468200,1133530,1601730
2017-03-10,Big Street ATM,82,1106460,678150,1784610
2017-03-11,Big Street ATM,114,535000,932400,1467400
2017-03-12,Big Street ATM,119,660480,917440,1577920
2017-03-13,Big Street ATM,110,336960,998550,1335510
2017-03-14,Big Street ATM,94,741960,675450,1417410
2017-03-15,Big Street ATM,127,1457600,580950,2038550
2017-03-16,Big Street ATM,137,483570,1120050,1603620
2017-03-17,Big Street ATM,71,180220,334350,514570
2017-03-18,Big Street ATM,104,863060,661950,1525010
2017-03-19,Big Street ATM,119,1250240,658350,1908590
2017-03-20,Big Street ATM,110,564570,1274850,1839420
2017-03-21,Big Street ATM,107,726570,801450,1528020
2017-03-22,Big Street ATM,114,485600,532800,1018400
2017-03-23,Big Street ATM,113,444690,805950,1250640
2017-03-24,Big Street ATM,91,842400,585900,1428300
2017-03-25,Big Street ATM,101,814050,772650,1586700
2017-03-26,Big Street ATM,144,617220,1424250,2041470
2017-03-27,Big Street ATM,137,899100,1297800,2196900
2017-03-28,Big Street ATM,126,750870,869850,1620720
2017-03-29,Big Street ATM,105,588060,952650,1540710
2017-03-30,Big Street ATM,131,390820,1096200,1487020
2017-03-31,Big Street ATM,198,1243760,2061900,3305660
2017-04-01,Big Street ATM,102,452790,1196550,1649340
2017-04-02,Big Street ATM,76,668250,670050,1338300
2017-04-03,Big Street ATM,99,1040850,750600,1791450
2017-04-04,Big Street ATM,130,1135850,996980,2132830
2017-04-05,Big Street ATM,112,880080,1015070,1895150
2017-04-06,Big Street ATM,120,672740,955870,1628610
2017-04-07,Big Street ATM,115,921520,1160460,2081980
2017-04-08,Big Street ATM,124,891320,1259680,2151000
2017-04-09,Big Street ATM,125,634470,1226140,1860610
2017-04-10,Big Street ATM,140,1237680,1492200,2729880
2017-04-11,Big Street ATM,130,647600,1265400,1913000
2017-04-12,Big Street ATM,114,888560,796000,1684560
2017-04-13,Big Street ATM,69,543920,556200,1100120
2017-04-14,Big Street ATM,35,0,567900,567900
2017-04-15,Big Street ATM,73,220320,657900,878220
2017-04-16,Big Street ATM,125,1140480,981900,2122380
2017-04-17,Big Street ATM,123,970380,1046250,2016630
2017-04-18,Big Street ATM,106,736290,1043100,1779390
2017-04-19,Big Street ATM,105,996700,567900,1564600
2017-04-20,Big Street ATM,93,1013720,498600,1512320
2017-04-21,Big Street ATM,94,631400,749700,1381100
2017-04-22,Big Street ATM,128,962280,906750,1869030
2017-04-23,Big Street ATM,103,880060,694800,1574860
2017-04-24,Big Street ATM,7,118660,0,118660
2017-04-25,Big Street ATM,103,708750,702000,1410750
2017-04-26,Big Street ATM,137,1007640,1181250,2188890
2017-04-27,Big Street ATM,136,422820,673200,1096020
2017-04-28,Big Street ATM,98,652050,603900,1255950
2017-04-29,Big Street ATM,92,870340,716400,1586740
2017-04-30,Big Street ATM,95,622890,934650,1557540
2017-05-01,Big Street ATM,70,652860,846000,1498860
2017-05-02,Big Street ATM,109,837940,1197450,2035390
2017-05-03,Big Street ATM,83,361260,715500,1076760
2017-05-04,Big Street ATM,99,767150,756470,1523620
2017-05-05,Big Street ATM,48,565280,319010,884290
2017-05-06,Big Street ATM,61,81650,644960,726610
2017-05-07,Big Street ATM,99,581740,1133530,1715270
2017-05-08,Big Street ATM,101,503080,852860,1355940
2017-05-09,Big Street ATM,40,330410,322240,652650
2017-05-10,Big Street ATM,90,820120,751500,1571620
2017-05-11,Big Street ATM,77,299300,582300,881600
2017-05-12,Big Street ATM,71,333350,724530,1057880
2017-05-13,Big Street ATM,100,995080,715950,1711030
2017-05-14,Big Street ATM,94,961880,724050,1685930
2017-05-15,Big Street ATM,78,365310,532800,898110
2017-05-16,Big Street ATM,92,822960,804150,1627110
2017-05-17,Big Street ATM,80,743580,589050,1332630
2017-05-18,Big Street ATM,124,648400,1089000,1737400
2017-05-19,Big Street ATM,113,599800,760950,1360750
2017-05-20,Big Street ATM,92,795420,734850,1530270
2017-05-21,Big Street ATM,105,946890,815850,1762740
2017-05-22,Big Street ATM,92,494100,698400,1192500
2017-05-23,Big Street ATM,91,249080,646650,895730
2017-05-24,Big Street ATM,131,1019380,1028700,2048080
2017-05-25,Big Street ATM,149,600620,1216800,1817420
2017-05-26,Big Street ATM,130,558900,1275750,1834650
2017-05-27,Big Street ATM,128,941220,1170900,2112120
2017-05-28,Big Street ATM,123,555660,827550,1383210
2017-05-29,Big Street ATM,177,1033560,1376550,2410110
2017-05-30,Big Street ATM,113,427280,1063800,1491080
2017-05-31,Big Street ATM,103,405810,1079100,1484910
2017-06-01,Big Street ATM,142,537440,1182600,1720040
2017-06-02,Big Street ATM,147,1067180,1689750,2756930
2017-06-03,Big Street ATM,92,736290,821700,1557990
2017-06-04,Big Street ATM,85,715700,787180,1502880
2017-06-05,Big Street ATM,129,733620,1760250,2493870
2017-06-06,Big Street ATM,103,588970,1434040,2023010
2017-06-07,Big Street ATM,137,1414380,1103760,2518140
2017-06-08,Big Street ATM,118,318510,1075880,1394390
2017-06-09,Big Street ATM,110,1237910,904360,2142270
2017-06-10,Big Street ATM,133,961470,1383750,2345220
2017-06-11,Big Street ATM,120,674730,1287900,1962630
2017-06-12,Big Street ATM,98,710200,730210,1440410
2017-06-13,Big Street ATM,106,586440,866700,1453140
2017-06-14,Big Street ATM,115,522450,1012050,1534500
2017-06-15,Big Street ATM,122,799060,1099800,1898860
2017-06-16,Big Street ATM,91,515160,706050,1221210
2017-06-17,Big Street ATM,96,846860,548550,1395410
2017-06-18,Big Street ATM,94,599000,463050,1062050
2017-06-19,Big Street ATM,92,941620,537300,1478920
2017-06-20,Big Street ATM,107,773960,625050,1399010
2017-06-21,Big Street ATM,91,299300,526950,826250
2017-06-22,Big Street ATM,99,439420,697050,1136470
2017-06-23,Big Street ATM,77,615200,531450,1146650
2017-06-24,Big Street ATM,107,354780,925650,1280430
2017-06-25,Big Street ATM,101,623300,857250,1480550
2017-06-26,Big Street ATM,79,426870,694800,1121670
2017-06-27,Big Street ATM,95,546340,732600,1278940
2017-06-28,Big Street ATM,123,474660,1194300,1668960
2017-06-29,Big Street ATM,108,530550,838800,1369350
2017-06-30,Big Street ATM,108,375030,1131300,1506330
2017-07-01,Big Street ATM,142,844020,2209950,3053970
2017-07-02,Big Street ATM,59,409460,578700,988160
2017-07-03,Big Street ATM,70,318740,793350,1112090
2017-07-04,Big Street ATM,114,740360,1186450,1926810
2017-07-05,Big Street ATM,84,344270,755100,1099370
2017-07-06,Big Street ATM,107,465650,749380,1215030
2017-07-07,Big Street ATM,99,733550,974300,1707850
2017-07-08,Big Street ATM,86,374640,963900,1338540
2017-07-09,Big Street ATM,88,412920,1086750,1499670
2017-07-10,Big Street ATM,98,468180,1121400,1589580
2017-07-11,Big Street ATM,88,313060,852750,1165810
2017-07-12,Big Street ATM,106,375380,938150,1313530
2017-07-13,Big Street ATM,145,511110,1449000,1960110
2017-07-14,Big Street ATM,102,578740,874800,1453540
2017-07-15,Big Street ATM,74,473850,575100,1048950
2017-07-16,Big Street ATM,115,801090,917100,1718190
2017-07-17,Big Street ATM,100,818910,712800,1531710
2017-07-18,Big Street ATM,98,729810,771750,1501560
2017-07-19,Big Street ATM,134,758160,869850,1628010
2017-07-20,Big Street ATM,122,416740,1006650,1423390
2017-07-21,Big Street ATM,99,477900,820800,1298700
2017-07-22,Big Street ATM,101,596560,805050,1401610
2017-07-23,Big Street ATM,114,813240,673200,1486440
2017-07-24,Big Street ATM,125,528520,1152450,1680970
2017-07-25,Big Street ATM,108,931100,786150,1717250
2017-07-26,Big Street ATM,94,430920,947250,1378170
2017-07-27,Big Street ATM,80,247050,643950,891000
2017-07-28,Big Street ATM,115,630580,793350,1423930
2017-07-29,Big Street ATM,48,234900,481050,715950
2017-07-30,Big Street ATM,103,428080,820350,1248430
2017-07-31,Big Street ATM,114,586840,1256400,1843240
2017-08-01,Big Street ATM,150,460480,1865250,2325730
2017-08-02,Big Street ATM,149,425660,2007900,2433560
2017-08-03,Big Street ATM,71,105700,330750,436450
2017-08-04,Big Street ATM,151,672320,2273200,2945520
2017-08-05,Big Street ATM,159,780940,2083230,2864170
2017-08-06,Big Street ATM,138,714840,1686820,2401660
2017-08-07,Big Street ATM,147,308300,1753920,2062220
2017-08-08,Big Street ATM,131,1018050,1422700,2440750
2017-08-09,Big Street ATM,87,502220,698830,1201050
2017-08-10,Big Street ATM,100,963900,905400,1869300
2017-08-11,Big Street ATM,50,209790,383400,593190
2017-08-12,Big Street ATM,82,385980,712340,1098320
2017-08-13,Big Street ATM,30,32800,378450,411250
2017-08-14,Big Street ATM,113,733860,982350,1716210
2017-08-15,Big Street ATM,104,492880,839250,1332130
2017-08-16,Big Street ATM,106,609120,986850,1595970
2017-08-17,Big Street ATM,122,693360,986400,1679760
2017-08-18,Big Street ATM,82,409860,397800,807660
2017-08-19,Big Street ATM,90,768280,622800,1391080
2017-08-20,Big Street ATM,107,871560,615600,1487160
2017-08-21,Big Street ATM,93,439420,826650,1266070
2017-08-22,Big Street ATM,108,819720,883800,1703520
2017-08-23,Big Street ATM,106,421200,1039950,1461150
2017-08-24,Big Street ATM,115,457240,906300,1363540
2017-08-25,Big Street ATM,84,366120,702000,1068120
2017-08-26,Big Street ATM,73,394880,569700,964580
2017-08-27,Big Street ATM,101,476680,1131300,1607980
2017-08-28,Big Street ATM,133,1211360,1153350,2364710
2017-08-29,Big Street ATM,75,309820,560250,870070
2017-08-30,Big Street ATM,73,293620,900450,1194070
2017-08-31,Big Street ATM,92,330080,936900,1266980
2017-09-01,Big Street ATM,140,529800,1792510,2322310
2017-09-02,Big Street ATM,105,614830,987100,1601930
2017-09-03,Big Street ATM,109,570590,1142710,1713300
2017-09-04,Big Street ATM,118,1040270,1059340,2099610
2017-09-05,Big Street ATM,121,688880,1295660,1984540
2017-09-06,Big Street ATM,120,480340,1082690,1563030
2017-09-07,Big Street ATM,113,340160,1124880,1465040
2017-09-08,Big Street ATM,104,549020,1018500,1567520
2017-09-09,Big Street ATM,121,653650,1435050,2088700
2017-09-10,Big Street ATM,114,611360,1194860,1806220
2017-09-11,Big Street ATM,126,865300,919120,1784420
2017-09-12,Big Street ATM,122,758020,1050580,1808600
2017-09-13,Big Street ATM,146,704090,1378690,2082780
2017-09-14,Big Street ATM,158,480170,1400490,1880660
2017-09-15,Big Street ATM,123,437460,950330,1387790
2017-09-16,Big Street ATM,124,397440,939640,1337080
2017-09-17,Big Street ATM,122,683320,870820,1554140
2017-09-18,Big Street ATM,116,388210,1058920,1447130
2017-09-19,Big Street ATM,118,478250,906300,1384550
2017-09-20,Big Street ATM,131,453240,728030,1181270
2017-09-21,Big Street ATM,131,477090,1162800,1639890
2017-09-22,Big Street ATM,50,214690,385600,600290
2017-09-23,Big Street ATM,142,933010,1164080,2097090
2017-09-24,Big Street ATM,123,380130,1149980,1530110
2017-09-25,Big Street ATM,113,339740,800280,1140020
2017-09-26,Big Street ATM,106,851840,801140,1652980
2017-09-27,Big Street ATM,152,572510,1112360,1684870
2017-09-28,Big Street ATM,58,456310,401000,857310
2017-09-29,Big Street ATM,43,213540,297970,511510
2017-09-30,Big Street ATM,115,1188880,675450,1864330
2017-10-01,Big Street ATM,164,1006020,2357730,3363750
2017-10-02,Big Street ATM,52,111780,570280,682060
2017-10-03,Big Street ATM,2,930,0,930
2017-10-04,Big Street ATM,49,234740,774310,1009050
2017-10-05,Big Street ATM,59,387170,829570,1216740
2017-10-06,Big Street ATM,149,669490,1832800,2502290
2017-10-07,Big Street ATM,89,377050,1165540,1542590
2017-10-08,Big Street ATM,146,1105220,1839870,2945090
2017-10-09,Big Street ATM,133,1068060,1536660,2604720
2017-10-10,Big Street ATM,120,963170,1247690,2210860
2017-10-11,Big Street ATM,109,252910,1212500,1465410
2017-10-12,Big Street ATM,172,849080,1546850,2395930
2017-10-13,Big Street ATM,105,254300,1346540,1600840
2017-10-14,Big Street ATM,108,838350,1430370,2268720
2017-10-15,Big Street ATM,107,392630,908730,1301360
2017-10-16,Big Street ATM,121,527690,2107260,2634950
2017-10-17,Big Street ATM,142,715390,1762600,2477990
2017-10-18,Big Street ATM,123,767100,1255460,2022560
2017-10-19,Big Street ATM,153,1043740,1578370,2622110
2017-10-20,Big Street ATM,105,799230,1209400,2008630
2017-10-21,Big Street ATM,115,1005560,1506440,2512000
2017-10-22,Big Street ATM,155,907280,1729480,2636760
2017-10-23,Big Street ATM,141,460160,1388970,1849130
2017-10-24,Big Street ATM,104,462960,1012750,1475710
2017-10-25,Big Street ATM,109,198880,1244590,1443470
2017-10-26,Big Street ATM,101,870020,1145230,2015250
2017-10-27,Big Street ATM,102,926840,1322210,2249050
2017-10-28,Big Street ATM,77,497880,803680,1301560
2017-10-29,Big Street ATM,76,543540,832140,1375680
2017-10-30,Big Street ATM,98,426170,1274600,1700770
2017-10-31,Big Street ATM,129,800160,1841780,2641940
2017-11-01,Big Street ATM,141,490510,2209360,2699870
2017-11-02,Big Street ATM,161,1160000,2300110,3460110
2017-11-03,Big Street ATM,103,1599650,774850,2374500
2017-11-04,Big Street ATM,3,8220,0,8220
2017-11-05,Big Street ATM,51,319180,666170,985350
2017-11-06,Big Street ATM,75,785640,949960,1735600
2017-11-07,Big Street ATM,103,710160,1404110,2114270
2017-11-08,Big Street ATM,127,843670,1586680,2430350
2017-11-09,Big Street ATM,139,1059840,1865110,2924950
2017-11-10,Big Street ATM,104,837230,1219330,2056560
2017-11-11,Big Street ATM,98,586360,1197060,1783420
2017-11-12,Big Street ATM,109,631140,650760,1281900
2017-11-13,Big Street ATM,94,1268070,1001980,2270050
2017-11-14,Big Street ATM,112,818650,942210,1760860
2017-11-15,Big Street ATM,136,1461730,1253020,2714750
2017-11-16,Big Street ATM,131,546740,1395390,1942130
2017-11-17,Big Street ATM,102,653350,995460,1648810
2017-11-18,Big Street ATM,111,829410,1077510,1906920
2017-11-19,Big Street ATM,128,995200,884070,1879270
2017-11-20,Big Street ATM,87,494420,1135650,1630070
2017-11-21,Big Street ATM,97,415680,1012310,1427990
2017-11-22,Big Street ATM,115,1037240,785180,1822420
2017-11-23,Big Street ATM,108,1095930,902000,1997930
2017-11-24,Big Street ATM,100,650420,1081320,1731740
2017-11-25,Big Street ATM,118,1163910,947100,2111010
2017-11-26,Big Street ATM,88,838700,664550,1503250
2017-11-27,Big Street ATM,127,946780,1014480,1961260
2017-11-28,Big Street ATM,165,1437770,2051780,3489550
2017-11-29,Big Street ATM,61,781480,547180,1328660
2017-11-30,Big Street ATM,106,658240,1400280,2058520
2017-12-01,Big Street ATM,78,547420,921800,1469220
2017-12-02,Big Street ATM,130,720670,1655070,2375740
2017-12-03,Big Street ATM,118,1000190,1432810,2433000
2017-12-04,Big Street ATM,46,150490,546460,696950
2017-12-05,Big Street ATM,122,891030,939710,1830740
2017-12-06,Big Street ATM,116,570110,1295560,1865670
2017-12-07,Big Street ATM,102,617450,949140,1566590
2017-12-08,Big Street ATM,77,751080,1287740,2038820
2017-12-09,Big Street ATM,119,996280,1128340,2124620
2017-12-10,Big Street ATM,102,1307830,1105860,2413690
2017-12-11,Big Street ATM,127,905970,1380720,2286690
2017-12-12,Big Street ATM,137,1288310,1462810,2751120
2017-12-13,Big Street ATM,104,712190,970420,1682610
2017-12-14,Big Street ATM,122,735410,899470,1634880
2017-12-15,Big Street ATM,119,1064480,937680,2002160
2017-12-16,Big Street ATM,95,462140,750140,1212280
2017-12-17,Big Street ATM,102,1030110,503570,1533680
2017-12-18,Big Street ATM,116,1110030,874170,1984200
2017-12-19,Big Street ATM,116,863100,1141580,2004680
2017-12-20,Big Street ATM,112,640750,1177300,1818050
2017-12-21,Big Street ATM,127,779160,1167380,1946540
2017-12-22,Big Street ATM,89,274610,576000,850610
2017-12-23,Big Street ATM,94,921600,663320,1584920
2017-12-24,Big Street ATM,122,1087700,942140,2029840
2017-12-25,Big Street ATM,117,698340,965960,1664300
2017-12-26,Big Street ATM,90,462590,675720,1138310
2017-12-27,Big Street ATM,107,1076550,772960,1849510
2017-12-28,Big Street ATM,104,522420,982330,1504750
2017-12-29,Big Street ATM,115,870700,855820,1726520
2017-12-30,Big Street ATM,129,1048410,1470020,2518430
2017-12-31,Big Street ATM,172,1418560,1793490,3212050
2018-01-01,Big Street ATM,119,824180,1510650,2334830
2018-01-02,Big Street ATM,128,591700,1328850,1920550
2018-01-03,Big Street ATM,137,1072440,1089900,2162340
2018-01-04,Big Street ATM,87,489040,834440,1323480
2018-01-05,Big Street ATM,69,224150,766020,990170
2018-01-06,Big Street ATM,123,1171140,910980,2082120
2018-01-07,Big Street ATM,108,635750,920430,1556180
2018-01-08,Big Street ATM,118,678700,1243620,1922320
2018-01-09,Big Street ATM,109,562610,1087220,1649830
2018-01-10,Big Street ATM,127,750060,941400,1691460
2018-01-11,Big Street ATM,126,785300,1241100,2026400
2018-01-12,Big Street ATM,118,462740,1175320,1638060
2018-01-13,Big Street ATM,116,641920,931500,1573420
2018-01-14,Big Street ATM,80,562950,667800,1230750
2018-01-15,Big Street ATM,66,904770,403650,1308420
2018-01-16,Big Street ATM,73,392440,589950,982390
2018-01-17,Big Street ATM,120,604260,820800,1425060
2018-01-18,Big Street ATM,140,426870,1099800,1526670
2018-01-19,Big Street ATM,16,41310,73800,115110
2018-01-20,Big Street ATM,96,838760,544500,1383260
2018-01-21,Big Street ATM,96,1012900,313200,1326100
2018-01-22,Big Street ATM,101,869540,683100,1552640
2018-01-23,Big Street ATM,74,254340,398250,652590
2018-01-24,Big Street ATM,101,678780,666000,1344780
2018-01-25,Big Street ATM,101,421200,730800,1152000
2018-01-26,Big Street ATM,97,518800,704700,1223500
2018-01-27,Big Street ATM,91,654080,804600,1458680
2018-01-28,Big Street ATM,119,765450,852300,1617750
2018-01-29,Big Street ATM,109,639900,839700,1479600
2018-01-30,Big Street ATM,117,805950,972450,1778400
2018-01-31,Big Street ATM,129,987800,1408050,2395850
2018-02-01,Big Street ATM,122,724540,968400,1692940
2018-02-02,Big Street ATM,131,868720,1354050,2222770
2018-02-03,Big Street ATM,123,1107270,1038150,2145420
2018-02-04,Big Street ATM,119,1009540,1061710,2071250
2018-02-05,Big Street ATM,123,615750,1575200,2190950
2018-02-06,Big Street ATM,100,475430,770650,1246080
2018-02-07,Big Street ATM,112,633620,951140,1584760
2018-02-08,Big Street ATM,138,670190,1287560,1957750
2018-02-09,Big Street ATM,123,710600,901060,1611660
2018-02-10,Big Street ATM,118,552420,1133550,1685970
2018-02-11,Big Street ATM,112,584820,907200,1492020
2018-02-12,Big Street ATM,127,864430,938550,1802980
2018-02-13,Big Street ATM,112,965920,836100,1802020
2018-02-14,Big Street ATM,147,317920,1145700,1463620
2018-02-15,Big Street ATM,96,211000,789300,1000300
2018-02-16,Big Street ATM,121,789340,945900,1735240
2018-02-17,Big Street ATM,119,674730,866250,1540980
2018-02-18,Big Street ATM,69,527310,318600,845910
2018-02-19,Big Street ATM,122,765040,915750,1680790
2018-02-20,Big Street ATM,88,543100,550350,1093450
2018-02-21,Big Street ATM,113,562140,859050,1421190
2018-02-22,Big Street ATM,113,519210,601650,1120860
2018-02-23,Big Street ATM,91,907200,549900,1457100
2018-02-24,Big Street ATM,97,768690,603000,1371690
2018-02-25,Big Street ATM,110,1062320,729450,1791770
2018-02-26,Big Street ATM,104,701860,846900,1548760
2018-02-27,Big Street ATM,115,804330,922050,1726380
2018-02-28,Big Street ATM,137,980100,1329750,2309850
2018-03-01,Big Street ATM,133,680400,1580400,2260800
2018-03-02,Big Street ATM,113,867100,1207800,2074900
2018-03-03,Big Street ATM,137,1086620,1787850,2874470
2018-03-04,Big Street ATM,116,915140,1276700,2191840
2018-03-05,Big Street ATM,124,672450,1160930,1833380
2018-03-06,Big Street ATM,102,58680,1007370,1066050
2018-03-07,Big Street ATM,136,480960,1238420,1719380
2018-03-08,Big Street ATM,10,0,176240,176240
2018-03-09,Big Street ATM,117,468200,1133530,1601730
2018-03-10,Big Street ATM,82,1106460,678150,1784610
2018-03-11,Big Street ATM,13,13770,13050,26820
2018-03-12,Big Street ATM,130,1078260,869110,1947370
2018-03-13,Big Street ATM,107,822560,930150,1752710
2018-03-14,Big Street ATM,119,682830,964350,1647180
2018-03-15,Big Street ATM,104,472640,1026900,1499540
2018-03-16,Big Street ATM,120,1071630,1146600,2218230
2018-03-17,Big Street ATM,118,405000,1196550,1601550
2018-03-18,Big Street ATM,117,731020,698850,1429870
2018-03-19,Big Street ATM,111,954180,798300,1752480
2018-03-20,Big Street ATM,93,472640,996300,1468940
2018-03-21,Big Street ATM,142,648810,1205100,1853910
2018-03-22,Big Street ATM,109,487220,935100,1422320
2018-03-23,Big Street ATM,120,473850,1020150,1494000
2018-03-24,Big Street ATM,131,986980,963000,1949980
2018-03-25,Big Street ATM,106,797040,817200,1614240
2018-03-26,Big Street ATM,108,887760,832050,1719810
2018-03-27,Big Street ATM,112,834300,661050,1495350
2018-03-28,Big Street ATM,11,262040,0,262040
2018-03-29,Big Street ATM,78,399330,663750,1063080
2018-03-30,Big Street ATM,120,882900,930600,1813500
2018-03-31,Big Street ATM,122,837140,1372050,2209190
2018-04-01,Big Street ATM,132,1067180,1286100,2353280
2018-04-02,Big Street ATM,94,553230,1245150,1798380
